Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach Front,5,14,,Si,HOZ2015,10-15%,https://drive.google.com/drive/folders/1-57wroIzzl115gR_deZ3-0KbXKJv6mLr
Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach Front,10,18,,Si,HOZ2039,10-15%,https://drive.google.com/drive/folders/1P8ZJwD0rttoU_ZG--GXXHgQKHeRSu8o5?usp=sharing
Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach View,6,12,,Si,HOZ2040,10-15%,https://drive.google.com/drive/folders/1R8KA0brtcRaWyfKp3ZuX7w7g_ctU0i1O?usp=sharing
Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach Front,12,24,,Si,HOZ2046,10-15%,https://drive.google.com/drive/folders/1-6jKZsxZDZqiBu0DFcD8DMOz8BJ2Q-JW
Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach Front,10,20,,Si,HOZ2057,10-15%,https://drive.google.com/drive/folders/1nmx2XIBUqv5ONfoLjr-IOF1NFQwjry-C?usp=sharing
Sbx Travel,,Villa,México,Tulum,Zona Hotelera,Beach View,5,12,,Si,HOZ2058,10-15%,https://drive.google.com/drive/folders/1SfCm69HkYn8x9zUlOFU4OcLhgfJAqL4m?usp=sharing
Sbx Travel,,Villa,México,Tulum,Sian Kaan,Beach Front,5,12,,Si,SIK3006,10-15%,https://drive.google.com/drive/folders/1-ASNtNEtefEtiTwxJOWmbf-zfqRwHlB-
Sbx Travel,,Villa,México,Tulum,Sian Kaan,Beach Front,5,10 - 12,,Si,SIK3011,10-15%,https://drive.google.com/drive/folders/1x5_rf4NmngQtPY8aFeVG0lXQuWFE05u3?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,10,20,,Si,AZA1084,10-15%,https://drive.google.com/drive/folders/16wwN12YFDkEOh8obf7DfOYN2ev45LppL?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,6,12,,Si,AZA1083,10-15%,https://drive.google.com/drive/folders/1sXUjPAUNuJKyTfh7GXwh8JGUiigm8FH7?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,4 +1,12,,Si,AZA1080,10-15%,https://drive.google.com/drive/folders/1sXUjPAUNuJKyTfh7GXwh8JGUiigm8FH7?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,10,,Si,AZA1079,10-15%,https://drive.google.com/drive/folders/1jB6nQBCO7CJ-Bc4xf26zSLXmlZawXa0U?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,8 + 2,18,,Si,AZA1077,10-15%,https://drive.google.com/drive/folders/1KgPMi_UXg_JZPQKz-D6wIppAARxkd4bm?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,14,,Si,AZA1078,10-15%,https://drive.google.com/drive/folders/1vy39LvhlL3EICXHiFj5-2iu9UteEtY8T?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,4,10,,Si,AZA1071,10-15%,https://drive.google.com/drive/folders/1PczqZ1Nq-CtLSnhz8sCvSUd4WNF2XipI?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,6,12,,Si,AZA1072,10-15%,https://drive.google.com/drive/folders/1CizuROZ2Yv0_x_le2m46PRQqT8bsQczF?usp=sharing
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,10,,Si,AZA1073,10-15%,https://drive.google.com/drive/folders/1aKYhx2pbubpdhkAuKoLq1FmXgekpE7Wn?usp=share_link
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,,,,,AZA1067,10-15%,https://drive.google.com/drive/folders/1u9nSC7hUyRvxOiocr96sfB1P8Q4Wcmyh?usp=share_link
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,10,,Si,AZA1068,10-15%,https://drive.google.com/drive/folders/1yFDLG2RH-n95SPaTfz9dE6VigNJQZE3x?usp=share_link
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,8,20,,Si,AZA1069,10-15%,https://drive.google.com/drive/folders/1GMwCT-mNVQJSCUGEUEHiIceNUrTXCK5-?usp=drive_link
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,14,,Si,AZA1070,10-15%,https://drive.google.com/drive/folders/1u9nSC7hUyRvxOiocr96sfB1P8Q4Wcmyh
Sbx Travel,,Villa,México,Tulum,Aldea Zama,,5,13,,Si,AZA1071,10-15%,https://drive.google.com/drive/folders/1Vh78D982W9MFqj8pZZ9ayllW24UTRZo_?usp=sharing
Sbx Travel,,Villa,México,Tulum,RG 8,,7,14,,Si,RG801,10-15%,https://drive.google.com/drive/folders/1f_DmgaxN3l0HrwdpB7AA9VawcWjbuKFN?usp=drive_link
Sbx Travel,,Villa,México,Tulum,RG 15,,5,14,,Si,RG1515,10-15%,https://drive.google.com/drive/folders/1puqedtSlO_Fs1rQHeCEvlZWlKaUQAhuX?usp=sharing
Sbx Travel,,Villa,México,Tulum,RG 15,,5,10,,Si,RG1516,10-15%,https://drive.google.com/drive/folders/1YBGPwLADTh-FX80UkdrokZjuHa1haOI2?usp=sharing
Sbx Travel,,Villa,México,Tulum,RG 15,,5,10,,Si,RG1518,10-15%,https://drive.google.com/drive/folders/1YBGPwLADTh-FX80UkdrokZjuHa1haOI2?usp=sharing
